text,score
Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Block Bl,0.9839117270181125
"Gam, keep your CRAP off my Talk Page

Your KKK style rants are NOT welcome.

Best wishes,",0.9653909917479006
"STOP IT 

THIS IS THE WIKIPEDIA.  STOP INSERTING YOUR RIDICULOUS POV.  ~CaliforniaDreamlings",0.9439488963240267
"If you disrespect others, you only disrespect yourself.",0.9436334637297191
"Dead 

Is she dead yet?",0.9343950668397637
"=]

WE ARE GOING TO MAKE SURE YOU ARE EXPOSED!! DROP YOUR RELATIONS WITH ANTI AMERICAN HATE GROUPS
''WE ARE GOING TO MAKE SURE YOU ARE EXPOSED!! DROP YOUR RELATIONS WITH ANTI AMERICAN HATE GROUPS",0.9210061751106678
WE WILL LEAVE YOU ALONE IF YOU WILL LEAVE US ALONE ! AND STOP MESSING WITH WHAT WE HAVE TO SAY.,0.9131737882130891
"You have no respect for the victims, you are with the killers.",0.912156704128024
"WikiNation is Dead 
You have lost your position.
Or have you.....",0.9092826966755387
"U  

U MEANNNN SO STOP IT",0.906635214982675
tell your girl friend of your User:Nancy stop beenin a bitch 24 hours 86.166.250.11,0.8892356439062398
DELETE YOUR ACCOUNT.'DELETE YOUR ACCOUNT.'DELETE YOUR ACCOUNT.,0.8822478275042931
CHUCK NORRIAS IS JUST STRAIGHT BAD!!!,0.8807751868944077
meaningless and saddening barnstars.,0.8805024354326858
I have reported you abusive attitude and  would appreciate you FIX your sabotage,0.8732482133221374
"""

By better, I assume you mean worse. Also, when you're trying to insult me, it becomes my business, and not letting someone know who you are is really stupid and doesn't help anything. Please try and stop your attempts at insults, and if you feel you must reply, leave your name, so that I may address you as more than just """"the prick who tries to insult me and horribly fails.""""""",0.8730175345460721
"Fight the power! 

You go man! Fight the power!",0.8676028377305908
"Harassment 
Do you consider anyone who disagrees with you harassment? Just curious.",0.8658013031615459
(shakes head) u just think every1s evil dont u? haha jk <3,0.8656561589984557
"disruptive, poor and unjust editing",0.8627348963738797
